epoch,lanes,gpu_util,gpu_power_w
1787253752,30,0,0
1787253754,30,0,0
1787253756,30,0,0
1787253758,30,0,0
1787253760,30,0,0
1787253763,30,0,0
1787253765,30,0,0
1787253767,30,0,0
1787253769,30,0,0
1787253771,30,0,0
1787253773,30,0,0
1787253775,30,0,0
1787253778,30,0,0
1787253780,30,0,0
1787253782,30,0,0
1787253784,30,0,0
1787253786,30,0,0
1787253788,29,0,0
1787253790,29,0,0
1787253793,29,0,0
1787253795,29,0,0
1787253797,29,0,0
1787253799,29,0,0
1787253801,29,0,0
1787253803,29,0,0
1787253805,29,0,0
1787253808,29,0,0
1787253810,29,0,0
1787253812,29,0,0
1787253814,29,0,0
1787253816,28,0,0
1787253818,28,0,0
1787253820,28,0,0
1787253822,28,0,0
1787253825,28,0,0
1787253827,28,0,0
1787253829,28,0,0
1787253831,28,0,0
1787253833,28,0,0
1787253835,28,0,0
1787253837,28,0,0
1787253839,27,0,0
1787253842,26,0,0
1787253844,26,0,0
1787253846,26,0,0
1787253848,26,0,0
1787253850,26,0,0
1787253852,26,0,0
1787253854,26,0,0
1787253856,26,0,0
1787253859,25,0,0
1787253861,25,0,0
1787253863,24,0,0
1787253865,24,0,0
1787253867,24,0,0
1787253869,23,0,0
1787253871,23,0,0
1787253873,20,0,0
1787253876,20,0,0
1787253878,20,0,0
1787253880,20,0,0
1787253882,20,0,0
1787253884,20,0,0
1787253886,19,0,0
1787253888,19,0,0
1787253890,19,0,0
1787253893,19,0,0
1787253895,19,0,0
1787253897,17,0,0
1787253899,17,0,0
1787253901,16,0,0
1787253903,16,0,0
1787253905,13,0,0
1787253907,13,0,0
1787253909,10,0,0
1787253912,10,0,0
1787253914,9,0,0
1787253916,8,0,0
1787253918,7,0,0
1787253920,7,0,0
1787253922,6,0,0
1787253924,5,0,0
1787253926,5,0,0
1787253928,5,0,0
1787253931,5,0,0
1787253933,5,0,0
1787253935,5,0,0
1787253937,5,0,0
1787253939,5,0,0
1787253941,4,0,0
1787253943,4,0,0
1787253945,4,0,0
1787253947,4,0,0
1787253950,3,0,0
1787253952,3,0,0
1787253954,3,0,0
1787253956,3,0,0
1787253958,3,0,0
1787253960,3,0,0
1787253962,3,0,0
1787253964,3,0,0
1787253966,3,0,0
1787253969,3,0,0
1787253971,3,0,0
1787253973,3,0,0
