epoch,lanes,gpu_util,gpu_power_w
1787252713,29,21,42.06
1787252714,29,21,42.07
1787252715,29,21,42.01
1787252716,29,21,42.03
1787252717,29,21,41.97
1787252719,29,21,42.01
1787252720,29,22,42.10
1787252721,29,14,41.94
1787252722,29,21,41.98
1787252723,29,21,42.13
1787252724,29,21,42.18
1787252725,29,21,42.13
1787252726,29,21,42.19
1787252727,28,21,42.27
1787252728,28,21,42.18
1787252729,28,21,42.32
1787252730,28,21,42.56
1787252731,28,21,42.52
1787252732,28,22,42.58
1787252733,28,21,42.67
1787252734,28,21,42.66
1787252735,28,22,42.66
1787252736,28,22,42.72
1787252737,28,22,42.73
1787252738,28,22,42.74
1787252739,28,22,42.70
1787252740,28,22,42.76
1787252741,28,23,42.86
1787252742,28,21,42.72
1787252743,28,21,42.67
1787252745,28,22,42.77
1787252746,28,21,42.82
1787252747,28,22,42.90
1787252748,28,22,43.05
1787252749,27,22,42.83
1787252750,27,21,42.75
1787252751,26,22,42.78
1787252752,26,22,42.88
1787252753,26,22,42.84
1787252754,26,23,42.94
1787252755,26,23,42.92
1787252756,26,21,42.89
1787252757,26,23,42.87
1787252758,26,21,42.89
1787252759,26,22,42.78
1787252760,26,22,42.95
1787252761,26,22,42.92
1787252762,26,22,43.07
1787252763,26,22,42.96
1787252764,26,22,42.87
1787252765,26,21,42.76
1787252766,26,22,42.93
1787252767,26,22,42.99
1787252768,25,21,42.89
1787252769,25,22,43.04
1787252770,25,22,43.09
1787252772,25,21,43.02
1787252773,25,22,42.95
1787252774,24,22,42.99
1787252775,24,22,43.00
1787252776,24,22,43.11
1787252777,24,21,43.17
1787252778,24,22,43.24
1787252779,24,22,43.21
1787252780,23,22,43.31
1787252781,23,22,43.29
1787252782,23,22,43.28
1787252783,21,21,43.34
1787252784,20,22,43.26
1787252785,20,22,43.30
1787252786,20,22,43.46
1787252787,20,22,43.27
1787252788,20,23,43.33
1787252789,20,22,43.35
1787252790,20,22,43.44
1787252791,20,22,43.43
1787252792,20,21,43.32
1787252793,20,22,43.44
1787252794,19,22,43.38
1787252795,19,22,43.58
1787252796,19,20,43.37
1787252798,19,23,43.10
1787252799,19,22,43.60
1787252800,19,22,43.67
1787252801,19,23,43.76
1787252802,19,22,43.65
1787252803,19,22,43.58
1787252804,19,22,43.51
1787252805,19,22,43.48
1787252806,18,21,43.47
1787252807,17,22,43.53
1787252808,17,22,43.56
1787252809,17,23,43.65
1787252810,16,23,43.68
1787252811,16,22,43.72
1787252812,16,22,43.67
1787252813,15,22,43.76
1787252814,13,22,43.78
1787252815,13,23,43.73
1787252816,13,22,43.78
1787252817,13,22,43.68
1787252818,10,21,43.63
1787252819,10,21,43.63
1787252820,10,22,43.62
1787252821,9,23,43.72
1787252822,9,6,43.22
1787252823,8,4,42.36
1787252825,8,4,42.19
1787252826,7,4,42.09
1787252827,7,4,42.11
1787252828,7,5,42.06
1787252829,7,4,42.15
1787252830,7,5,42.23
1787252831,6,4,42.32
1787252832,6,4,41.97
1787252833,6,5,41.90
1787252834,5,5,41.75
1787252835,5,4,41.67
1787252836,5,4,41.68
1787252837,5,4,41.65
1787252838,5,4,41.63
1787252839,5,4,41.67
1787252840,5,4,41.53
1787252841,5,4,41.50
1787252842,5,5,41.57
1787252843,5,5,41.73
1787252844,5,5,41.67
1787252845,5,4,41.66
1787252846,5,4,41.69
1787252847,5,5,41.70
1787252848,5,5,41.74
1787252850,5,4,41.84
1787252851,4,4,41.65
1787252852,4,4,41.43
1787252853,4,3,41.46
1787252854,4,4,41.47
1787252855,4,5,41.49
1787252856,4,5,41.45
1787252857,4,4,41.45
1787252858,3,4,41.40
1787252859,3,4,41.28
1787252860,3,3,41.17
1787252861,3,3,41.33
1787252862,3,4,41.38
1787252863,3,3,41.49
1787252864,3,4,41.40
1787252865,3,3,41.40
1787252866,3,4,41.41
1787252867,3,4,41.39
1787252868,3,4,41.37
1787252869,3,3,41.39
1787252870,3,4,41.39
1787252871,3,3,41.44
1787252872,3,3,41.43
1787252873,3,3,41.46
1787252875,3,3,41.43
1787252876,3,4,41.44
1787252877,3,3,41.47
1787252878,3,4,41.54
1787252879,3,4,41.55
1787252880,3,3,41.58
1787252881,3,4,41.57
1787252882,3,4,41.56
1787252883,3,3,41.65
1787252884,3,4,41.57
1787252885,3,4,41.55
1787252886,3,4,41.58
1787252887,2,4,41.62
1787252888,2,4,41.44
1787252889,2,4,41.50
1787252890,2,4,41.44
1787252891,2,4,41.43
1787252892,2,4,41.42
1787252893,2,4,41.41
1787252894,2,3,41.51
1787252895,2,4,41.49
1787252896,2,3,41.50
1787252897,2,3,41.48
1787252898,2,4,41.51
1787252899,2,4,41.48
1787252900,2,4,41.53
1787252902,2,4,41.47
1787252903,2,4,43.69
1787252904,2,4,42.37
1787252905,2,4,42.42
1787252906,2,4,42.45
1787252907,2,4,42.41
1787252908,2,4,42.37
1787252909,2,4,42.38
1787252910,2,4,42.30
1787252911,2,4,42.19
1787252912,2,4,42.05
1787252913,2,4,41.99
1787252914,2,4,41.87
1787252915,2,4,41.80
1787252916,2,4,41.75
1787252917,2,4,41.65
1787252918,2,4,41.57
1787252919,2,4,41.53
1787252920,2,4,41.40
1787252921,2,3,41.37
1787252922,2,4,41.23
1787252923,2,3,41.18
